model,family,size_b,split,episode_count,overall_mean_score,overall_ci_low,overall_ci_high,strict_native_episode_count,strict_native_overall_mean_score,strict_native_ci_low,strict_native_ci_high,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shifted_episode_count,shifted_overall_mean_score,shifted_ci_low,shifted_ci_high,unshifted_episode_count,unshifted_overall_mean_score,unshifted_ci_low,unshifted_ci_high,shell_penalty,shift_adaptation_penalty,total_output_tokens
deepseek-r1:1.5b,deepseek-r1,1.5,core,30,0.43043000000000003,0.39966658333333327,0.46239908333333335,30,0.43043000000000003,0.39966658333333327,0.46239908333333335,1.0,0.0,0.0,27,0.4112592592592592,0.3872855555555555,0.4394818518518519,3,0.6029666666666667,0.5757,0.6413,0.0,0.19170740740740744,4980
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,30,0.4300466666666667,0.3998936666666666,0.46198350000000005,30,0.4300466666666667,0.3998936666666666,0.46198350000000005,1.0,0.0,0.0,27,0.41054444444444443,0.38634574074074074,0.43838601851851855,3,0.6055666666666667,0.5915,0.632,0.0,0.19502222222222226,4787
deepseek-r1:8b,deepseek-r1,8.0,core,30,0.40485,0.37507808333333337,0.4393841666666666,30,0.40485,0.37507808333333337,0.4393841666666666,1.0,0.0,0.0,27,0.3928925925925926,0.36398472222222217,0.4306925,3,0.5124666666666666,0.49709999999999993,0.5357,0.0,0.119574074074074,5208
deepseek-r1:8b,deepseek-r1,8.0,heldout,30,0.4462733333333333,0.4095095833333333,0.48241075,30,0.4462733333333333,0.4095095833333333,0.48241075,1.0,0.0,0.0,27,0.43394074074074074,0.3981999074074074,0.47448037037037033,3,0.5572666666666667,0.5366,0.5932,0.0,0.12332592592592595,5400
deepseek-r1:14b,deepseek-r1,14.0,core,30,0.43943666666666664,0.4035405833333333,0.4744845833333334,30,0.43943666666666664,0.4035405833333333,0.4744845833333334,1.0,0.0,0.0,27,0.42602962962962965,0.3923875925925926,0.462575462962963,3,0.5600999999999999,0.5441,0.5919,0.0,0.13407037037037028,5104
deepseek-r1:14b,deepseek-r1,14.0,heldout,30,0.4292066666666667,0.3956629166666667,0.46423058333333334,30,0.4292066666666667,0.3956629166666667,0.46423058333333334,1.0,0.0,0.0,27,0.4116814814814815,0.3809871296296296,0.4431412962962963,3,0.5869333333333333,0.571,0.5966,0.0,0.17525185185185183,5333
gemma4:e2b,gemma4,2.0,core,30,0.40442999999999996,0.37674433333333324,0.43632875,30,0.40442999999999996,0.37674433333333324,0.43632875,1.0,0.0,0.0,27,0.38354814814814814,0.36418592592592586,0.40723037037037035,3,0.5923666666666666,0.5588,0.6463,0.0,0.20881851851851846,6079
gemma4:e2b,gemma4,2.0,heldout,30,0.41463,0.39037841666666667,0.4454975833333333,30,0.41463,0.39037841666666667,0.4454975833333333,1.0,0.0,0.0,27,0.3932407407407407,0.37990268518518505,0.4123102777777778,3,0.6071333333333334,0.5708,0.6528,0.0,0.2138925925925927,5978
gemma4:e4b,gemma4,4.0,core,30,0.42066333333333333,0.38975525000000005,0.4537480833333334,30,0.42066333333333333,0.38975525000000005,0.4537480833333334,1.0,0.0,0.0,27,0.40590740740740744,0.37887750000000003,0.4372327777777778,3,0.5534666666666667,0.5282,0.5919,0.0,0.14755925925925922,5593
gemma4:e4b,gemma4,4.0,heldout,30,0.42763333333333337,0.39665500000000004,0.45866183333333327,30,0.42763333333333337,0.39665500000000004,0.45866183333333327,1.0,0.0,0.0,27,0.4126814814814815,0.3854148148148148,0.44256009259259266,3,0.5621999999999999,0.5355,0.5932,0.0,0.14951851851851844,5627
gemma4:26b,gemma4,26.0,core,30,0.3952466666666667,0.3555399166666666,0.43624499999999994,21,0.43394285714285713,0.38907488095238096,0.48197297619047624,0.7,0.3,0.1,27,0.3786259259259259,0.3428838888888889,0.4156388888888889,3,0.5448333333333334,0.4877,0.6372,0.03869619047619044,0.16620740740740747,42780
gemma4:26b,gemma4,26.0,heldout,30,0.3609866666666666,0.33590216666666667,0.3901385,22,0.3839772727272727,0.35670397727272724,0.4163788636363636,0.7333333333333333,0.26666666666666666,0.1,27,0.3430111111111111,0.3261467592592593,0.35998416666666655,3,0.5227666666666667,0.4359,0.6368,0.0229906060606061,0.1797555555555556,38809
gpt-oss:20b,gpt-oss,20.0,core,30,0.39982,0.3657688333333333,0.4383609166666666,30,0.39982,0.3657688333333333,0.4383609166666666,1.0,0.0,0.13333333333333333,27,0.3855851851851852,0.35314537037037036,0.4205966666666666,3,0.5279333333333334,0.4946,0.5642,0.0,0.14234814814814817,16841
gpt-oss:20b,gpt-oss,20.0,heldout,30,0.3792,0.3527419166666667,0.40757025,30,0.3792,0.3527419166666667,0.40757025,1.0,0.0,0.03333333333333333,27,0.36041111111111107,0.3407405555555556,0.3808083333333334,3,0.5483,0.4757,0.6186,0.0,0.18788888888888894,8551
qwen3.5:2b,qwen,2.0,core,30,0.42993333333333333,0.39883233333333334,0.4627670833333333,30,0.42993333333333333,0.39883233333333334,0.4627670833333333,1.0,0.0,0.0,27,0.4101740740740741,0.3858660185185184,0.43839620370370364,3,0.6077666666666667,0.5901,0.6413,0.0,0.1975925925925926,5093
qwen3.5:2b,qwen,2.0,heldout,30,0.43381000000000003,0.4036430833333333,0.46577083333333336,30,0.43381000000000003,0.4036430833333333,0.46577083333333336,1.0,0.0,0.0,27,0.41418518518518516,0.3903218518518518,0.44142925925925924,3,0.6104333333333333,0.5915,0.6466,0.0,0.19624814814814812,5032
qwen3.5:9b,qwen,9.0,core,30,0.42172333333333334,0.3852002499999999,0.4589769166666666,30,0.42172333333333334,0.3852002499999999,0.4589769166666666,1.0,0.0,0.0,27,0.4052148148148148,0.3713709259259259,0.4440273148148148,3,0.5703,0.5576,0.5919,0.0,0.16508518518518522,5190
qwen3.5:9b,qwen,9.0,heldout,30,0.4212666666666667,0.3830850833333333,0.45908491666666673,30,0.4212666666666667,0.3830850833333333,0.45908491666666673,1.0,0.0,0.0,27,0.40187407407407405,0.3689651851851852,0.43629870370370377,3,0.5958,0.5902,0.604,0.0,0.19392592592592595,5821
qwen3.5:27b,qwen,27.0,core,60,0.44299999999999995,0.422223,0.46414537499999986,58,0.4434896551724138,0.42171211206896553,0.46475237068965514,0.9666666666666667,0.03333333333333333,0.0,33,0.4055181818181818,0.37478151515151514,0.4381608333333333,27,0.48881111111111114,0.4702335185185185,0.5055782407407408,0.0004896551724138387,0.08329292929292936,10357
qwen3.5:27b,qwen,27.0,heldout,30,0.3846466666666667,0.3448761666666667,0.42524591666666667,14,0.45671428571428574,0.40473553571428567,0.5088742857142856,0.4666666666666667,0.5333333333333333,0.3333333333333333,27,0.36785555555555555,0.3328485185185185,0.4065592592592592,3,0.5357666666666666,0.4156,0.6466,0.07206761904761905,0.16791111111111107,196925
