split,task_id,canonical_task_id,task_bucket,view,centroid_accuracy,explicit_goal_token_rate,n_train,n_test,vocab_size,numeric_feature_count
core,task1_feedback_triage,task1_feedback,appendix,full_observation,0.15,0.0,20,20,128,18
core,task1_feedback_triage,task1_feedback,appendix,impact_summary_only,0.25,0.0,20,20,0,0
core,task1_feedback_triage,task1_feedback,appendix,metadata_only,0.1,0.0,20,20,21,0
core,task1_feedback_triage,task1_feedback,appendix,numeric_only,0.25,0.0,20,20,0,18
core,task1_feedback_triage,task1_feedback,appendix,sender_only,0.3,0.0,20,20,20,0
core,task1_feedback_triage,task1_feedback,appendix,stakeholder_order_only,0.25,0.0,20,20,2,0
heldout,task1_feedback_triage,task1_feedback,appendix,full_observation,0.15,0.0,20,20,128,18
heldout,task1_feedback_triage,task1_feedback,appendix,impact_summary_only,0.25,0.0,20,20,0,0
heldout,task1_feedback_triage,task1_feedback,appendix,metadata_only,0.3,0.0,20,20,21,0
heldout,task1_feedback_triage,task1_feedback,appendix,numeric_only,0.2,0.0,20,20,0,18
heldout,task1_feedback_triage,task1_feedback,appendix,sender_only,0.3,0.0,20,20,20,0
heldout,task1_feedback_triage,task1_feedback,appendix,stakeholder_order_only,0.25,0.0,20,20,2,0
core,task4_capital_allocation,task4_capital_allocation,appendix,full_observation,0.15,0.0,20,20,128,18
core,task4_capital_allocation,task4_capital_allocation,appendix,impact_summary_only,0.15,0.0,20,20,121,0
core,task4_capital_allocation,task4_capital_allocation,appendix,metadata_only,0.3,0.0,20,20,42,0
core,task4_capital_allocation,task4_capital_allocation,appendix,numeric_only,0.1,0.0,20,20,0,18
core,task4_capital_allocation,task4_capital_allocation,appendix,sender_only,0.25,0.0,20,20,6,0
core,task4_capital_allocation,task4_capital_allocation,appendix,stakeholder_order_only,0.25,0.0,20,20,6,0
heldout,task4_capital_allocation,task4_capital_allocation,appendix,full_observation,0.05,0.0,20,20,128,18
heldout,task4_capital_allocation,task4_capital_allocation,appendix,impact_summary_only,0.05,0.0,20,20,113,0
heldout,task4_capital_allocation,task4_capital_allocation,appendix,metadata_only,0.3,0.0,20,20,42,0
heldout,task4_capital_allocation,task4_capital_allocation,appendix,numeric_only,0.2,0.0,20,20,0,18
heldout,task4_capital_allocation,task4_capital_allocation,appendix,sender_only,0.25,0.0,20,20,6,0
heldout,task4_capital_allocation,task4_capital_allocation,appendix,stakeholder_order_only,0.25,0.0,20,20,6,0
core,task5_crisis_response,task5_crisis_response,appendix,full_observation,0.3,0.0,20,20,128,18
core,task5_crisis_response,task5_crisis_response,appendix,impact_summary_only,0.3,0.0,20,20,53,0
core,task5_crisis_response,task5_crisis_response,appendix,metadata_only,0.3,0.0,20,20,42,0
core,task5_crisis_response,task5_crisis_response,appendix,numeric_only,0.3,0.0,20,20,0,18
core,task5_crisis_response,task5_crisis_response,appendix,sender_only,0.3,0.0,20,20,26,0
core,task5_crisis_response,task5_crisis_response,appendix,stakeholder_order_only,0.25,0.0,20,20,6,0
heldout,task5_crisis_response,task5_crisis_response,appendix,full_observation,0.3,0.0,20,20,128,18
heldout,task5_crisis_response,task5_crisis_response,appendix,impact_summary_only,0.25,0.0,20,20,53,0
heldout,task5_crisis_response,task5_crisis_response,appendix,metadata_only,0.3,0.0,20,20,42,0
heldout,task5_crisis_response,task5_crisis_response,appendix,numeric_only,0.4,0.0,20,20,0,18
heldout,task5_crisis_response,task5_crisis_response,appendix,sender_only,0.4,0.0,20,20,26,0
heldout,task5_crisis_response,task5_crisis_response,appendix,stakeholder_order_only,0.25,0.0,20,20,6,0
core,task3_startup_week,task3_startup_week,main,full_observation,0.2,0.0,20,20,128,18
core,task3_startup_week,task3_startup_week,main,impact_summary_only,0.2,0.0,20,20,66,0
core,task3_startup_week,task3_startup_week,main,metadata_only,0.3,0.0,20,20,45,0
core,task3_startup_week,task3_startup_week,main,numeric_only,0.05,0.0,20,20,0,18
core,task3_startup_week,task3_startup_week,main,sender_only,0.25,0.0,20,20,27,0
core,task3_startup_week,task3_startup_week,main,stakeholder_order_only,0.25,0.0,20,20,8,0
heldout,task3_startup_week,task3_startup_week,main,full_observation,0.2,0.0,20,20,128,18
heldout,task3_startup_week,task3_startup_week,main,impact_summary_only,0.15,0.0,20,20,43,0
heldout,task3_startup_week,task3_startup_week,main,metadata_only,0.2,0.0,20,20,45,0
heldout,task3_startup_week,task3_startup_week,main,numeric_only,0.15,0.0,20,20,0,18
heldout,task3_startup_week,task3_startup_week,main,sender_only,0.2,0.0,20,20,27,0
heldout,task3_startup_week,task3_startup_week,main,stakeholder_order_only,0.25,0.0,20,20,8,0
core,task6_incident_response_week,task6_incident_response_week,main,full_observation,0.2,0.0,20,20,128,18
core,task6_incident_response_week,task6_incident_response_week,main,impact_summary_only,0.15,0.0,20,20,65,0
core,task6_incident_response_week,task6_incident_response_week,main,metadata_only,0.3,0.0,20,20,45,0
core,task6_incident_response_week,task6_incident_response_week,main,numeric_only,0.1,0.0,20,20,0,18
core,task6_incident_response_week,task6_incident_response_week,main,sender_only,0.3,0.0,20,20,27,0
core,task6_incident_response_week,task6_incident_response_week,main,stakeholder_order_only,0.25,0.0,20,20,8,0
heldout,task6_incident_response_week,task6_incident_response_week,main,full_observation,0.15,0.0,20,20,128,18
heldout,task6_incident_response_week,task6_incident_response_week,main,impact_summary_only,0.25,0.0,20,20,42,0
heldout,task6_incident_response_week,task6_incident_response_week,main,metadata_only,0.2,0.0,20,20,45,0
heldout,task6_incident_response_week,task6_incident_response_week,main,numeric_only,0.2,0.0,20,20,0,18
heldout,task6_incident_response_week,task6_incident_response_week,main,sender_only,0.3,0.0,20,20,27,0
heldout,task6_incident_response_week,task6_incident_response_week,main,stakeholder_order_only,0.25,0.0,20,20,8,0
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,full_observation,0.25,0.0,20,20,128,18
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,impact_summary_only,0.35,0.0,20,20,112,0
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,metadata_only,0.3,0.0,20,20,42,0
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,numeric_only,0.25,0.0,20,20,0,18
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,sender_only,0.25,0.0,20,20,6,0
core,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,stakeholder_order_only,0.25,0.0,20,20,6,0
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,full_observation,0.2,0.0,20,20,128,18
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,impact_summary_only,0.2,0.0,20,20,112,0
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,metadata_only,0.3,0.0,20,20,42,0
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,numeric_only,0.15,0.0,20,20,0,18
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,sender_only,0.25,0.0,20,20,6,0
heldout,task7_quarterly_headcount_plan,task7_quarterly_headcount_plan,main,stakeholder_order_only,0.25,0.0,20,20,6,0
core,task2_roadmap_priority,task2_prioritization,supplemental,full_observation,0.5,0.0,20,20,128,18
core,task2_roadmap_priority,task2_prioritization,supplemental,impact_summary_only,0.4,0.0,20,20,128,0
core,task2_roadmap_priority,task2_prioritization,supplemental,metadata_only,0.45,0.0,20,20,45,0
core,task2_roadmap_priority,task2_prioritization,supplemental,numeric_only,0.1,0.0,20,20,0,18
core,task2_roadmap_priority,task2_prioritization,supplemental,sender_only,0.4,0.0,20,20,8,0
core,task2_roadmap_priority,task2_prioritization,supplemental,stakeholder_order_only,0.4,0.0,20,20,8,0
heldout,task2_roadmap_priority,task2_prioritization,supplemental,full_observation,0.25,0.0,20,20,128,18
heldout,task2_roadmap_priority,task2_prioritization,supplemental,impact_summary_only,0.25,0.0,20,20,125,0
heldout,task2_roadmap_priority,task2_prioritization,supplemental,metadata_only,0.35,0.0,20,20,45,0
heldout,task2_roadmap_priority,task2_prioritization,supplemental,numeric_only,0.2,0.0,20,20,0,18
heldout,task2_roadmap_priority,task2_prioritization,supplemental,sender_only,0.35,0.0,20,20,8,0
heldout,task2_roadmap_priority,task2_prioritization,supplemental,stakeholder_order_only,0.35,0.0,20,20,8,0
