model,family,size_b,split,overall_mean_score,strict_native_episode_count,strict_native_overall_mean_score,native_action_episode_rate,interface_failure_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shell_penalty,shift_adaptation_penalty,mechanism_label
deepseek-r1:1.5b,deepseek-r1,1.5,core,0.43043000000000003,30,0.43043000000000003,1.0,0.0,0.0,0.0,0.0,0.19170740740740744,native_policy_struggles_after_shift
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,0.4300466666666667,30,0.4300466666666667,1.0,0.0,0.0,0.0,0.0,0.19502222222222226,native_policy_struggles_after_shift
deepseek-r1:8b,deepseek-r1,8.0,core,0.40485,30,0.40485,1.0,0.0,0.0,0.0,0.0,0.119574074074074,native_policy_struggles_after_shift
deepseek-r1:8b,deepseek-r1,8.0,heldout,0.4462733333333333,30,0.4462733333333333,1.0,0.0,0.0,0.0,0.0,0.12332592592592595,native_policy_struggles_after_shift
deepseek-r1:14b,deepseek-r1,14.0,core,0.43943666666666664,30,0.43943666666666664,1.0,0.0,0.0,0.0,0.0,0.13407037037037028,native_policy_struggles_after_shift
deepseek-r1:14b,deepseek-r1,14.0,heldout,0.4292066666666667,30,0.4292066666666667,1.0,0.0,0.0,0.0,0.0,0.17525185185185183,native_policy_struggles_after_shift
gemma4:e2b,gemma4,2.0,core,0.40442999999999996,30,0.40442999999999996,1.0,0.0,0.0,0.0,0.0,0.20881851851851846,native_policy_struggles_after_shift
gemma4:e2b,gemma4,2.0,heldout,0.41463,30,0.41463,1.0,0.0,0.0,0.0,0.0,0.2138925925925927,native_policy_struggles_after_shift
gemma4:e4b,gemma4,4.0,core,0.42066333333333333,30,0.42066333333333333,1.0,0.0,0.0,0.0,0.0,0.14755925925925922,native_policy_struggles_after_shift
gemma4:e4b,gemma4,4.0,heldout,0.42763333333333337,30,0.42763333333333337,1.0,0.0,0.0,0.0,0.0,0.14951851851851844,native_policy_struggles_after_shift
gemma4:26b,gemma4,26.0,core,0.3952466666666667,21,0.43394285714285713,0.7,0.30000000000000004,0.3,0.1,0.03869619047619044,0.16620740740740747,interface_failure_depresses_observed_score
gemma4:26b,gemma4,26.0,heldout,0.3609866666666666,22,0.3839772727272727,0.7333333333333333,0.2666666666666667,0.26666666666666666,0.1,0.0229906060606061,0.1797555555555556,interface_failure_depresses_observed_score
gpt-oss:20b,gpt-oss,20.0,core,0.39982,30,0.39982,1.0,0.0,0.0,0.13333333333333333,0.0,0.14234814814814817,native_policy_struggles_after_shift
gpt-oss:20b,gpt-oss,20.0,heldout,0.3792,30,0.3792,1.0,0.0,0.0,0.03333333333333333,0.0,0.18788888888888894,native_policy_struggles_after_shift
qwen3.5:2b,qwen,2.0,core,0.42993333333333333,30,0.42993333333333333,1.0,0.0,0.0,0.0,0.0,0.1975925925925926,native_policy_struggles_after_shift
qwen3.5:2b,qwen,2.0,heldout,0.43381000000000003,30,0.43381000000000003,1.0,0.0,0.0,0.0,0.0,0.19624814814814812,native_policy_struggles_after_shift
qwen3.5:9b,qwen,9.0,core,0.42172333333333334,30,0.42172333333333334,1.0,0.0,0.0,0.0,0.0,0.16508518518518522,native_policy_struggles_after_shift
qwen3.5:9b,qwen,9.0,heldout,0.4212666666666667,30,0.4212666666666667,1.0,0.0,0.0,0.0,0.0,0.19392592592592595,native_policy_struggles_after_shift
qwen3.5:27b,qwen,27.0,core,0.44299999999999995,58,0.4434896551724138,0.9666666666666667,0.033333333333333326,0.03333333333333333,0.0,0.0004896551724138387,0.08329292929292936,native_policy_signal
qwen3.5:27b,qwen,27.0,heldout,0.3846466666666667,14,0.45671428571428574,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.07206761904761905,0.16791111111111107,interface_failure_depresses_observed_score
