family,split,from_model,to_model,from_size_b,to_size_b,delta_overall_mean_score,delta_strict_native_overall_mean_score,delta_native_action_episode_rate,delta_empty_fallback_episode_rate,delta_shifted_overall_mean_score,delta_unshifted_overall_mean_score,delta_shell_penalty,delta_shift_adaptation_penalty,scaling_label
deepseek-r1,core,deepseek-r1:1.5b,deepseek-r1:8b,1.5,8.0,-0.025580000000000047,-0.025580000000000047,0.0,0.0,-0.018366666666666587,-0.09050000000000002,0.0,-0.07213333333333344,larger_model_native_policy_regression
deepseek-r1,heldout,deepseek-r1:1.5b,deepseek-r1:8b,1.5,8.0,0.01622666666666661,0.01622666666666661,0.0,0.0,0.023396296296296304,-0.04830000000000001,0.0,-0.07169629629629631,larger_model_gain
deepseek-r1,core,deepseek-r1:8b,deepseek-r1:14b,8.0,14.0,0.034586666666666654,0.034586666666666654,0.0,0.0,0.03313703703703702,0.047633333333333305,0.0,0.014496296296296285,larger_model_gain
deepseek-r1,heldout,deepseek-r1:8b,deepseek-r1:14b,8.0,14.0,-0.01706666666666662,-0.01706666666666662,0.0,0.0,-0.022259259259259256,0.02966666666666662,0.0,0.051925925925925875,larger_model_native_policy_regression
gemma4,core,gemma4:e2b,gemma4:e4b,2.0,4.0,0.016233333333333377,0.016233333333333377,0.0,0.0,0.0223592592592593,-0.038899999999999935,0.0,-0.061259259259259236,larger_model_gain
gemma4,heldout,gemma4:e2b,gemma4:e4b,2.0,4.0,0.013003333333333367,0.013003333333333367,0.0,0.0,0.01944074074074076,-0.04493333333333349,0.0,-0.06437407407407425,larger_model_gain
gemma4,core,gemma4:e4b,gemma4:26b,4.0,26.0,-0.025416666666666643,0.013279523809523797,-0.30000000000000004,0.3,-0.027281481481481518,-0.00863333333333327,0.03869619047619044,0.018648148148148247,larger_model_interface_regression
gemma4,heldout,gemma4:e4b,gemma4:26b,4.0,26.0,-0.06664666666666674,-0.04365606060606064,-0.2666666666666667,0.26666666666666666,-0.06967037037037038,-0.03943333333333321,0.0229906060606061,0.030237037037037173,larger_model_interface_regression
qwen,core,qwen3.5:2b,qwen3.5:9b,2.0,9.0,-0.008209999999999995,-0.008209999999999995,0.0,0.0,-0.004959259259259274,-0.03746666666666665,0.0,-0.032507407407407374,approximately_flat
qwen,heldout,qwen3.5:2b,qwen3.5:9b,2.0,9.0,-0.01254333333333335,-0.01254333333333335,0.0,0.0,-0.012311111111111106,-0.014633333333333276,0.0,-0.00232222222222217,larger_model_native_policy_regression
qwen,core,qwen3.5:9b,qwen3.5:27b,9.0,27.0,0.02127666666666661,0.02176632183908045,-0.033333333333333326,0.03333333333333333,0.0003033670033669722,-0.08148888888888889,0.0004896551724138387,-0.08179225589225586,larger_model_gain
qwen,heldout,qwen3.5:9b,qwen3.5:27b,9.0,27.0,-0.036619999999999986,0.03544761904761906,-0.5333333333333333,0.5333333333333333,-0.034018518518518504,-0.06003333333333338,0.07206761904761905,-0.02601481481481488,larger_model_interface_regression
