variant,split,best_primary_model,best_primary_score,oracle_score,oracle_gap,median_unshifted_minus_shifted_gap,random_score,visible_heuristic_score,baseline_order_holds,primary_models_with_shift_gap
original,core,qwen3.5:27b,0.443,0.59859,0.15558999999999995,0.1542370370370371,0.30251,0.34579333333333334,True,10
original,heldout,deepseek-r1:8b,0.4462733333333333,0.59841,0.1521366666666667,0.18289351851851848,0.30953166666666665,0.3711083333333333,True,10
utility_only,core,qwen3.5:27b,0.39243833333333333,0.40402333333333335,0.011585000000000012,0.07204074074074077,0.36831833333333336,0.37379666666666667,True,10
utility_only,heldout,gpt-oss:20b,0.3929,0.40866,0.015759999999999996,0.08299444444444445,0.37569166666666665,0.381355,True,10
balanced,core,deepseek-r1:14b,0.49363507142857144,0.5810399761904762,0.08740490476190477,0.18513596560846562,0.39661869047619047,0.47488705952380955,True,10
balanced,heldout,deepseek-r1:8b,0.4990775476190476,0.5802508571428572,0.08117330952380958,0.2090256944444445,0.40765891666666665,0.5105959285714285,True,10
adaptation_heavy,core,qwen3.5:27b,0.46316694444444445,0.5523861388888889,0.08921919444444443,0.2138235648148148,0.35842616666666666,0.429013,True,10
adaptation_heavy,heldout,deepseek-r1:8b,0.46215194444444446,0.5499228333333334,0.0877708888888889,0.2492347685185185,0.36801725,0.46311455555555553,True,10
adaptation_light,core,deepseek-r1:1.5b,0.5189385,0.5758240555555556,0.056885555555555634,0.10880564814814817,0.42764772222222225,0.51392625,True,10
adaptation_light,heldout,qwen3.5:2b,0.5232343333333334,0.578982,0.05574766666666664,0.11794953703703709,0.43839891666666664,0.5405200555555556,True,10
no_coherence,core,qwen3.5:27b,0.4296345476190476,0.49079576190476193,0.061161214285714305,0.16856521164021157,0.3816081547619048,0.38024305952380955,False,10
no_coherence,heldout,deepseek-r1:8b,0.4287247619047619,0.48849992857142854,0.05977516666666666,0.20731601851851847,0.39340130952380953,0.41856739285714284,True,10
