model,family,size_b,split,task_id,task_bucket,episode_count,overall_mean_score,overall_ci_low,overall_ci_high,strict_native_episode_count,strict_native_overall_mean_score,strict_native_ci_low,strict_native_ci_high,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shifted_episode_count,shifted_overall_mean_score,shifted_ci_low,shifted_ci_high,unshifted_episode_count,unshifted_overall_mean_score,unshifted_ci_low,unshifted_ci_high,decision_only_mean_score,belief_tracking_mean_score,shell_penalty,shift_adaptation_penalty,total_cost_usd,total_input_tokens,total_output_tokens
deepseek-r1:1.5b,deepseek-r1,1.5,core,task3_startup_week,main,10,0.40049999999999997,0.3645385,0.45812474999999997,10,0.40049999999999997,0.3645385,0.45812474999999997,1.0,0.0,0.0,9,0.37374444444444443,0.36210000000000003,0.38837944444444444,1,0.6413,,,0.4005021666666667,0.0,0.0,0.26755555555555555,0.0,395334,2508
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task3_startup_week,main,10,0.40109000000000006,0.36431975000000005,0.4572989999999999,10,0.40109000000000006,0.36431975000000005,0.4572989999999999,1.0,0.0,0.0,9,0.3754333333333333,0.3595888888888889,0.39205777777777784,1,0.632,,,0.40110900000000005,0.0,0.0,0.2565666666666667,0.0,404515,2471
deepseek-r1:8b,deepseek-r1,8.0,core,task3_startup_week,main,10,0.39651000000000003,0.35093475,0.45279424999999995,10,0.39651000000000003,0.35093475,0.45279424999999995,1.0,0.0,0.0,9,0.38104444444444446,0.3463747222222222,0.4377791666666667,1,0.5357,,,0.39651916666666664,0.0,0.0,0.1546555555555555,0.0,353178,2755
deepseek-r1:8b,deepseek-r1,8.0,heldout,task3_startup_week,main,10,0.43765,0.38227900000000004,0.49891074999999996,10,0.43765,0.38227900000000004,0.49891074999999996,1.0,0.0,0.0,9,0.4260555555555555,0.3721666666666667,0.490471111111111,1,0.542,,,0.4376325,0.0,0.0,0.11594444444444452,0.0,355518,2879
deepseek-r1:14b,deepseek-r1,14.0,core,task3_startup_week,main,10,0.40878,0.36287925000000004,0.45872775,10,0.40878,0.36287925000000004,0.45872775,1.0,0.0,0.0,9,0.3937222222222222,0.3552769444444444,0.44413277777777777,1,0.5443,,,0.40878766666666666,0.0,0.0,0.1505777777777778,0.0,367925,2662
deepseek-r1:14b,deepseek-r1,14.0,heldout,task3_startup_week,main,10,0.43502,0.38772775000000004,0.48521050000000004,10,0.43502,0.38772775000000004,0.48521050000000004,1.0,0.0,0.0,9,0.4170666666666667,0.3825086111111111,0.45783638888888895,1,0.5966,,,0.435023,0.0,0.0,0.17953333333333332,0.0,348777,2732
gemma4:e2b,gemma4,2.0,core,task3_startup_week,main,10,0.39313,0.35499825,0.45362575,10,0.39313,0.35499825,0.45362575,1.0,0.0,0.0,9,0.365,0.35115499999999994,0.37880388888888883,1,0.6463,,,0.3931326666666667,0.0,0.0,0.2813,0.0,418272,2729
gemma4:e2b,gemma4,2.0,heldout,task3_startup_week,main,10,0.4104,0.37274850000000004,0.469264,10,0.4104,0.37274850000000004,0.469264,1.0,0.0,0.0,9,0.3834666666666667,0.3691319444444444,0.3993894444444444,1,0.6528,,,0.4103933333333333,0.0,0.0,0.26933333333333337,0.0,418573,2732
gemma4:e4b,gemma4,4.0,core,task3_startup_week,main,10,0.38751,0.341481,0.43879,10,0.38751,0.341481,0.43879,1.0,0.0,0.0,9,0.3718777777777778,0.333955,0.419245,1,0.5282,,,0.3875195,0.0,0.0,0.1563222222222222,0.0,372287,2902
gemma4:e4b,gemma4,4.0,heldout,task3_startup_week,main,10,0.45712,0.40604499999999993,0.5085802500000001,10,0.45712,0.40604499999999993,0.5085802500000001,1.0,0.0,0.0,9,0.4459222222222222,0.3980513888888889,0.5012244444444446,1,0.5579,,,0.4571108333333333,0.0,0.0,0.11197777777777773,0.0,366936,2962
gemma4:26b,gemma4,26.0,core,task3_startup_week,main,10,0.35203,0.29709850000000004,0.41321075,4,0.445675,0.34130000000000005,0.5030749999999999,0.4,0.6,0.3,9,0.33695555555555556,0.284585,0.4051805555555555,1,0.4877,,,0.35203933333333337,0.0,0.09364499999999998,0.15074444444444446,0.0,371860,36200
gemma4:26b,gemma4,26.0,heldout,task3_startup_week,main,10,0.33466999999999997,0.300608,0.37042524999999993,5,0.38201999999999997,0.34709999999999996,0.4164800000000001,0.5,0.5,0.3,9,0.3234222222222222,0.2933772222222222,0.35621749999999996,1,0.4359,,,0.3346591666666667,0.0,0.04735,0.11247777777777779,0.0,370707,35444
gpt-oss:20b,gpt-oss,20.0,core,task3_startup_week,main,10,0.37363,0.33758725000000006,0.4112159999999999,10,0.37363,0.33758725000000006,0.4112159999999999,1.0,0.0,0.1,9,0.3601888888888889,0.3291436111111111,0.3915925,1,0.4946,,,0.3736423333333333,0.0,0.0,0.1344111111111111,0.0,382487,4994
gpt-oss:20b,gpt-oss,20.0,heldout,task3_startup_week,main,10,0.34787,0.309394,0.38877999999999996,10,0.34787,0.309394,0.38877999999999996,1.0,0.0,0.0,9,0.33366666666666667,0.3038866666666667,0.368018611111111,1,0.4757,,,0.3478836666666666,0.0,0.0,0.14203333333333334,0.0,380610,2662
qwen3.5:2b,qwen,2.0,core,task3_startup_week,main,10,0.40187,0.36736875,0.45825549999999987,10,0.40187,0.36736875,0.45825549999999987,1.0,0.0,0.0,9,0.3752666666666667,0.3659555555555556,0.38876666666666665,1,0.6413,,,0.40185666666666664,0.0,0.0,0.2660333333333333,0.0,401718,2532
qwen3.5:2b,qwen,2.0,heldout,task3_startup_week,main,10,0.40776,0.37136925000000004,0.4654315,10,0.40776,0.37136925000000004,0.4654315,1.0,0.0,0.0,9,0.38122222222222224,0.3675777777777778,0.3964672222222222,1,0.6466,,,0.40776,0.0,0.0,0.2653777777777777,0.0,404128,2500
qwen3.5:9b,qwen,9.0,core,task3_startup_week,main,10,0.36292,0.33270625,0.40959024999999993,10,0.36292,0.33270625,0.40959024999999993,1.0,0.0,0.0,9,0.3412888888888889,0.3300441666666667,0.35188916666666664,1,0.5576,,,0.36292650000000004,0.0,0.0,0.21631111111111107,0.0,347384,2707
qwen3.5:9b,qwen,9.0,heldout,task3_startup_week,main,10,0.41299,0.35439975,0.4768409999999999,10,0.41299,0.35439975,0.4768409999999999,1.0,0.0,0.0,9,0.39176666666666665,0.3442058333333334,0.44381583333333324,1,0.604,,,0.41298599999999996,0.0,0.0,0.21223333333333333,0.0,340687,3042
qwen3.5:27b,qwen,27.0,core,task3_startup_week,main,20,0.41201499999999996,0.38022987500000005,0.442327875,18,0.41015,0.37582138888888883,0.4432783333333333,0.9,0.1,0.0,11,0.3740454545454545,0.33661227272727273,0.4170199999999999,9,0.45842222222222223,0.43265499999999996,0.48606666666666665,0.41200458333333334,0.0,-0.00186499999999995,0.08437676767676772,0.0,696508,5508
qwen3.5:27b,qwen,27.0,heldout,task3_startup_week,main,10,0.38936,0.34628975,0.451992,5,0.43818,0.37678,0.5426799999999999,0.5,0.5,0.5,9,0.36077777777777775,0.3406322222222222,0.3794227777777778,1,0.6466,,,0.38935499999999995,0.0,0.04882000000000003,0.2858222222222222,0.0,204800,85546
deepseek-r1:1.5b,deepseek-r1,1.5,core,task6_incident_response_week,main,10,0.41340000000000005,0.39146949999999997,0.45098025,10,0.41340000000000005,0.39146949999999997,0.45098025,1.0,0.0,0.0,9,0.39536666666666664,0.39035416666666667,0.40070055555555556,1,0.5757,,,0.4134125854423322,0.0,0.0,0.18033333333333335,0.0,250393,1992
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task6_incident_response_week,main,10,0.41200000000000003,0.385578,0.45455274999999995,10,0.41200000000000003,0.385578,0.45455274999999995,1.0,0.0,0.0,9,0.3920555555555556,0.38277750000000005,0.4014816666666667,1,0.5915,,,0.4120068275227891,0.0,0.0,0.19944444444444442,0.0,254129,1836
deepseek-r1:8b,deepseek-r1,8.0,core,task6_incident_response_week,main,10,0.42008999999999996,0.36078650000000007,0.488286,10,0.42008999999999996,0.36078650000000007,0.488286,1.0,0.0,0.0,9,0.4107,0.3504749999999999,0.48632527777777756,1,0.5046,,,0.4200948448013554,0.0,0.0,0.09390000000000004,0.0,234864,1970
deepseek-r1:8b,deepseek-r1,8.0,heldout,task6_incident_response_week,main,10,0.42412,0.3651095,0.490374,10,0.42412,0.3651095,0.490374,1.0,0.0,0.0,9,0.4116222222222222,0.35147666666666666,0.48372222222222216,1,0.5366,,,0.42411916017332396,0.0,0.0,0.12497777777777774,0.0,234670,2041
deepseek-r1:14b,deepseek-r1,14.0,core,task6_incident_response_week,main,10,0.43213999999999997,0.37572525,0.49710249999999984,10,0.43213999999999997,0.37572525,0.49710249999999984,1.0,0.0,0.0,9,0.41969999999999996,0.36465361111111105,0.4887463888888889,1,0.5441,,,0.4321343590339864,0.0,0.0,0.12440000000000007,0.0,230669,1962
deepseek-r1:14b,deepseek-r1,14.0,heldout,task6_incident_response_week,main,10,0.37555,0.3391725,0.42321999999999993,10,0.37555,0.3391725,0.42321999999999993,1.0,0.0,0.0,9,0.35383333333333333,0.3346738888888889,0.3735111111111111,1,0.571,,,0.3755523777574179,0.0,0.0,0.21716666666666662,0.0,229881,2121
gemma4:e2b,gemma4,2.0,core,task6_incident_response_week,main,10,0.40946999999999995,0.38175925000000005,0.44660274999999994,10,0.40946999999999995,0.38175925000000005,0.44660274999999994,1.0,0.0,0.0,9,0.39287777777777777,0.3791663888888889,0.40351277777777783,1,0.5588,,,0.40946511660934554,0.0,0.0,0.1659222222222222,0.0,264580,2162
gemma4:e2b,gemma4,2.0,heldout,task6_incident_response_week,main,10,0.41349,0.3863895,0.4564587499999999,10,0.41349,0.3863895,0.4564587499999999,1.0,0.0,0.0,9,0.39301111111111114,0.3841775,0.4025338888888889,1,0.5978,,,0.4135010109170027,0.0,0.0,0.20478888888888885,0.0,265662,2194
gemma4:e4b,gemma4,4.0,core,task6_incident_response_week,main,10,0.42806999999999995,0.3750285,0.4899365,10,0.42806999999999995,0.3750285,0.4899365,1.0,0.0,0.0,9,0.4156,0.3655869444444444,0.4787824999999999,1,0.5403,,,0.42806518340673705,0.0,0.0,0.12469999999999998,0.0,243777,2062
gemma4:e4b,gemma4,4.0,heldout,task6_incident_response_week,main,10,0.37434,0.34860874999999997,0.4136772499999999,10,0.37434,0.34860874999999997,0.4136772499999999,1.0,0.0,0.0,9,0.3564333333333333,0.3450666666666667,0.36814555555555556,1,0.5355,,,0.37433109990725544,0.0,0.0,0.17906666666666665,0.0,242842,2110
gemma4:26b,gemma4,26.0,core,task6_incident_response_week,main,10,0.43237,0.3565900000000001,0.5065379999999999,9,0.44661111111111107,0.36728999999999995,0.5216602777777777,0.9,0.1,0.0,9,0.4237888888888889,0.3399530555555556,0.5075366666666667,1,0.5096,,,0.43235584111195885,0.0,0.014241111111111093,0.08581111111111117,0.0,239806,5529
gemma4:26b,gemma4,26.0,heldout,task6_incident_response_week,main,10,0.34751,0.31924974999999994,0.3848335,9,0.35366666666666663,0.32394277777777775,0.3935602777777778,0.9,0.1,0.0,9,0.33105555555555555,0.31381888888888887,0.34785944444444444,1,0.4956,,,0.3475100464858801,0.0,0.006156666666666644,0.16454444444444444,0.0,238139,2303
gpt-oss:20b,gpt-oss,20.0,core,task6_incident_response_week,main,10,0.44075,0.37203800000000004,0.5119122500000001,10,0.44075,0.37203800000000004,0.5119122500000001,1.0,0.0,0.0,9,0.43138888888888893,0.35348083333333336,0.5142852777777778,1,0.525,,,0.4407530665367164,0.0,0.0,0.09361111111111109,0.0,262855,2020
gpt-oss:20b,gpt-oss,20.0,heldout,task6_incident_response_week,main,10,0.36765,0.33618750000000003,0.41173225,10,0.36765,0.33618750000000003,0.41173225,1.0,0.0,0.0,9,0.34732222222222225,0.33131750000000004,0.3631447222222222,1,0.5506,,,0.36765057126065737,0.0,0.0,0.20327777777777772,0.0,246468,2085
